canonical_form_1,category_1,severity_rating,severity_description
ass,sexual anatomy / sexual acts,1.0,Mild
fuck,sexual anatomy / sexual acts,2.8,Severe
sex,sexual anatomy / sexual acts,1.0,Mild
orgasm,sexual anatomy / sexual acts,1.0,Mild
ejaculation,sexual anatomy / sexual acts,1.6,Strong
arse,sexual anatomy / sexual acts,1.4,Mild
foreskin,sexual anatomy / sexual acts,1.0,Mild
shit,bodily fluids / excrement,1.0,Mild
skank,sexual orientation / gender,2.0,Strong
abraham,racial / ethnic slurs,1.2,Mild
abeed,racial / ethnic slurs,1.8,Strong
abo,racial / ethnic slurs,1.0,Mild
anal,sexual anatomy / sexual acts,1.0,Mild
anus,sexual anatomy / sexual acts,1.0,Mild
ape,bodily fluids / excrement,1.6,Strong
wound,sexual anatomy / sexual acts,1.2,Mild
bitch,sexual orientation / gender,1.2,Mild
boobs,sexual anatomy / sexual acts,1.0,Mild
bollocks,sexual anatomy / sexual acts,1.0,Mild
baby batter,bodily fluids / excrement,1.4,Mild
bang,sexual anatomy / sexual acts,1.6,Strong
bastard,other / general insult,1.2,Mild
masturbate,sexual anatomy / sexual acts,1.6,Strong
cock,sexual anatomy / sexual acts,1.4,Mild
bean queen,racial / ethnic slurs,2.2,Strong
beaner,racial / ethnic slurs,2.6,Severe
meat,sexual anatomy / sexual acts,1.2,Mild
beat off,sexual anatomy / sexual acts,1.2,Mild
bellend,mental disability,1.0,Mild
bender,sexual orientation / gender,1.6,Strong
blowjob,sexual anatomy / sexual acts,1.6,Strong
blacky,racial / ethnic slurs,2.4,Strong
blow a load,bodily fluids / excrement,1.6,Strong
blumpkin,sexual anatomy / sexual acts,2.4,Strong
bondage,sexual anatomy / sexual acts,1.0,Mild
boner,sexual anatomy / sexual acts,1.0,Mild
bonk,bodily fluids / excrement,1.6,Strong
booty,sexual anatomy / sexual acts,1.0,Mild
breast,sexual anatomy / sexual acts,1.4,Mild
bugger,sexual anatomy / sexual acts,1.2,Mild
bum,sexual orientation / gender,1.8,Strong
bung,sexual anatomy / sexual acts,1.0,Mild
butt,sexual anatomy / sexual acts,1.0,Mild
buttermilk,racial / ethnic slurs,1.4,Mild
cunt,sexual anatomy / sexual acts,3.0,Severe
coon,racial / ethnic slurs,2.8,Severe
cojones,bodily fluids / excrement,1.2,Mild
camel jockey,racial / ethnic slurs,2.8,Severe
cameltoe,sexual anatomy / sexual acts,1.2,Mild
carpet muncher,sexual anatomy / sexual acts,2.4,Strong
chink,racial / ethnic slurs,3.0,Severe
testicles,sexual anatomy / sexual acts,1.0,Mild
china virus,political,2.2,Strong
chingchong,racial / ethnic slurs,2.8,Severe
choad,bodily fluids / excrement,2.0,Strong
chocha,sexual anatomy / sexual acts,2.4,Strong
choke the chicken,sexual anatomy / sexual acts,1.4,Mild
cholo,racial / ethnic slurs,1.6,Strong
clit,sexual anatomy / sexual acts,2.0,Strong
knob,sexual anatomy / sexual acts,1.8,Strong
motherfucker,sexual anatomy / sexual acts,3.0,Severe
coolie,racial / ethnic slurs,1.8,Strong
coot,sexual anatomy / sexual acts,1.6,Strong
cooties,other / general insult,1.0,Mild
cotton picker,racial / ethnic slurs,2.8,Severe
creampie,sexual anatomy / sexual acts,2.2,Strong
crotch,sexual anatomy / sexual acts,1.0,Mild
crow,animal references,1.0,Mild
cum,sexual anatomy / sexual acts,2.0,Strong
cunnilingus,sexual anatomy / sexual acts,2.0,Strong
dick,sexual anatomy / sexual acts,1.0,Mild
dildo,sexual anatomy / sexual acts,1.4,Mild
doggy style,sexual anatomy / sexual acts,1.8,Strong
dago,racial / ethnic slurs,2.2,Strong
darky,racial / ethnic slurs,2.8,Severe
retard,racial / ethnic slurs,3.0,Severe
diddle,sexual anatomy / sexual acts,1.0,Mild
dipstick,sexual anatomy / sexual acts,1.2,Mild
dirty sanchez,sexual anatomy / sexual acts,2.4,Strong
dolt,mental disability,1.0,Mild
dong,sexual anatomy / sexual acts,1.2,Mild
douche,bodily fluids / excrement,1.4,Mild
dothead,racial / ethnic slurs,2.6,Severe
double pen,sexual anatomy / sexual acts,1.2,Mild
dump a load,bodily fluids / excrement,1.6,Strong
dyke,sexual orientation / gender,2.8,Severe
erectoplasm,bodily fluids / excrement,1.8,Strong
faggot,sexual orientation / gender,2.8,Severe
fellatio,sexual anatomy / sexual acts,2.0,Strong
finger,sexual anatomy / sexual acts,1.0,Mild
flamer,sexual orientation / gender,2.0,Strong
fudge packer,sexual anatomy / sexual acts,3.0,Severe
funbags,sexual anatomy / sexual acts,1.0,Mild
gay,sexual orientation / gender,1.8,Strong
damn,religious offense,1.2,Mild
gash-stabber,sexual anatomy / sexual acts,2.0,Strong
garbage bag,sexual orientation / gender,1.8,Strong
gin jockey,sexual anatomy / sexual acts,2.0,Strong
girlyboy,sexual orientation / gender,1.4,Mild
girly bits,sexual anatomy / sexual acts,1.0,Mild
hell,other / general insult,1.0,Mild
gook,racial / ethnic slurs,2.8,Severe
gowl,other / general insult,1.6,Strong
greaser,racial / ethnic slurs,1.0,Mild
groid,racial / ethnic slurs,2.0,Strong
grope,sexual anatomy / sexual acts,1.4,Mild
gypsy,racial / ethnic slurs,2.0,Strong
harry palms,sexual anatomy / sexual acts,1.6,Strong
hebe,racial / ethnic slurs,2.2,Strong
nigger,racial / ethnic slurs,2.6,Severe
whore,sexual orientation / gender,1.8,Strong
hoe,sexual orientation / gender,2.0,Strong
homosexual,sexual orientation / gender,2.2,Strong
hooters,sexual anatomy / sexual acts,1.0,Mild
hustler,other / general insult,1.0,Mild
injun,racial / ethnic slurs,2.4,Strong
jerk off,sexual anatomy / sexual acts,1.4,Mild
jerk,other / general insult,1.0,Mild
jailbait,sexual anatomy / sexual acts,1.0,Mild
jackoff,sexual anatomy / sexual acts,1.4,Mild
jack off,sexual anatomy / sexual acts,1.2,Mild
jap,racial / ethnic slurs,2.8,Severe
jew,racial / ethnic slurs,2.8,Severe
jiggaboo,racial / ethnic slurs,2.4,Strong
jim crow,racial / ethnic slurs,1.4,Mild
jizz,bodily fluids / excrement,1.6,Strong
kike,racial / ethnic slurs,2.6,Severe
kidtoucher,sexual anatomy / sexual acts,1.8,Strong
kitty puncher,sexual anatomy / sexual acts,2.2,Strong
kkk,other / general insult,1.8,Strong
klan,racial / ethnic slurs,1.8,Strong
negro,racial / ethnic slurs,2.8,Severe
ku kluxer,racial / ethnic slurs,2.6,Severe
ladyboy,sexual orientation / gender,2.2,Strong
lesbian,sexual orientation / gender,2.2,Strong
loose,sexual orientation / gender,1.4,Mild
mongoloid,mental disability,2.2,Strong
man chowder,bodily fluids / excrement,1.0,Mild
man seed,bodily fluids / excrement,1.0,Mild
meat curtains,sexual anatomy / sexual acts,2.0,Strong
milf,sexual anatomy / sexual acts,1.8,Strong
molest,sexual anatomy / sexual acts,2.2,Strong
mong,racial / ethnic slurs,1.8,Strong
mongrel,racial / ethnic slurs,2.6,Severe
muff,sexual anatomy / sexual acts,1.8,Strong
mushroom tip,sexual anatomy / sexual acts,1.4,Mild
niggger,racial / ethnic slurs,2.8,Severe
niggers,racial / ethnic slurs,3.0,Severe
nipple,sexual anatomy / sexual acts,2.0,Strong
nonce,other / general insult,1.4,Mild
nut butter,bodily fluids / excrement,1.4,Mild
nutsack,sexual anatomy / sexual acts,1.8,Strong
nymph,sexual anatomy / sexual acts,1.0,Mild
pussy,sexual anatomy / sexual acts,1.2,Mild
oven dodger,racial / ethnic slurs,2.0,Strong
penis,sexual anatomy / sexual acts,1.8,Strong
paki,racial / ethnic slurs,2.6,Severe
palm jockey,sexual anatomy / sexual acts,1.2,Mild
pancake face,racial / ethnic slurs,1.6,Strong
pecker,sexual anatomy / sexual acts,1.4,Mild
pedophile,sexual anatomy / sexual acts,2.2,Strong
peter puffer,sexual anatomy / sexual acts,1.0,Mild
pillow biter,sexual anatomy / sexual acts,2.4,Strong
piss,bodily fluids / excrement,1.4,Mild
pole licker,sexual anatomy / sexual acts,2.2,Strong
pole smoker,sexual anatomy / sexual acts,2.0,Strong
pole sucker,sexual anatomy / sexual acts,1.8,Strong
polesmoker,sexual anatomy / sexual acts,2.2,Strong
porch monkey,racial / ethnic slurs,3.0,Severe
prick,sexual anatomy / sexual acts,1.0,Mild
pull the pud,sexual anatomy / sexual acts,1.2,Mild
punani,sexual anatomy / sexual acts,1.8,Strong
punta,sexual orientation / gender,1.8,Strong
queer,sexual orientation / gender,3.0,Severe
retarded,mental disability,2.8,Severe
raghead,racial / ethnic slurs,3.0,Severe
ramrod,sexual anatomy / sexual acts,1.0,Mild
reacharound,sexual anatomy / sexual acts,1.2,Mild
rectum,sexual anatomy / sexual acts,1.0,Mild
redskin,racial / ethnic slurs,2.2,Strong
monkey,racial / ethnic slurs,3.0,Severe
rim job,sexual anatomy / sexual acts,2.0,Strong
slut,sexual orientation / gender,1.8,Strong
sadomasochism,sexual anatomy / sexual acts,1.0,Mild
ballsack,sexual anatomy / sexual acts,1.0,Mild
salad tosser,sexual anatomy / sexual acts,2.0,Strong
sambo,racial / ethnic slurs,2.2,Strong
sausage jockey,sexual anatomy / sexual acts,2.6,Severe
schlong,sexual anatomy / sexual acts,1.0,Mild
scum,other / general insult,1.2,Mild
scut,other / general insult,1.0,Mild
shemale,sexual orientation / gender,2.6,Severe
shiester,racial / ethnic slurs,2.0,Strong
shlong,sexual anatomy / sexual acts,1.0,Mild
shylock,racial / ethnic slurs,1.6,Strong
sissy,sexual orientation / gender,1.0,Mild
slant eye,racial / ethnic slurs,3.0,Severe
slag,sexual orientation / gender,1.6,Strong
slit,sexual orientation / gender,1.6,Strong
snatch,sexual anatomy / sexual acts,1.0,Mild
spank,sexual anatomy / sexual acts,1.0,Mild
sperm,bodily fluids / excrement,1.0,Mild
sphincter,sexual anatomy / sexual acts,1.0,Mild
spic,racial / ethnic slurs,3.0,Severe
spook,racial / ethnic slurs,3.0,Severe
spunk,bodily fluids / excrement,1.2,Mild
stump chewer,sexual anatomy / sexual acts,1.4,Mild
suck,sexual anatomy / sexual acts,1.0,Mild
swine,animal references,1.0,Mild
tacohead,racial / ethnic slurs,2.4,Strong
tadger,sexual anatomy / sexual acts,1.4,Mild
taking the piss,bodily fluids / excrement,1.0,Mild
tallywacker,sexual anatomy / sexual acts,1.2,Mild
tar-baby,racial / ethnic slurs,2.6,Severe
tart,mental disability,1.2,Mild
throat yogurt,bodily fluids / excrement,1.8,Strong
throater,sexual anatomy / sexual acts,2.4,Strong
tickle the pickle,sexual anatomy / sexual acts,1.2,Mild
tit,sexual anatomy / sexual acts,1.0,Mild
tosser,other / general insult,1.2,Mild
tossing salad,sexual anatomy / sexual acts,1.8,Strong
towelhead,racial / ethnic slurs,3.0,Severe
tramp,sexual orientation / gender,1.6,Strong
tranny,sexual orientation / gender,2.8,Severe
transvestite,sexual orientation / gender,2.4,Strong
trouser snake,sexual anatomy / sexual acts,1.0,Mild
trousersnake,sexual anatomy / sexual acts,1.4,Mild
turd,other / general insult,1.6,Strong
twat,sexual anatomy / sexual acts,1.8,Strong
twink,sexual orientation / gender,1.2,Mild
upskirt,sexual anatomy / sexual acts,1.4,Mild
vagina,sexual anatomy / sexual acts,1.2,Mild
vulva,sexual anatomy / sexual acts,1.0,Mild
wank,sexual anatomy / sexual acts,1.2,Mild
wang,sexual anatomy / sexual acts,1.4,Mild
wetback,racial / ethnic slurs,2.6,Severe
weenie,sexual anatomy / sexual acts,1.0,Mild
weiner,sexual anatomy / sexual acts,1.0,Mild
whack off,sexual anatomy / sexual acts,1.2,Mild
willy-whacker,sexual anatomy / sexual acts,1.8,Strong
window licker,mental disability,1.8,Strong
zipperhead,racial / ethnic slurs,1.4,Mild
